"Country, Other",Total Cases,Total Deaths,Total Recovered,Active Cases,Serious / Critical Condition,Total Cases / 1M Population,Deaths / 1M Population,Total Tests,Tests / 1M Population,Population
South Africa,"2,873,415","85,779","2,706,293","81,343",546,"47,722","1,425","17,236,691","286,272","60,210,991"
Morocco,"913,423","13,775","872,976","26,672",884,"24,398",368,"9,447,326","252,342","37,438,534"
Tunisia,"697,421","24,383","668,072","4,966",400,"58,274","2,037","2,830,291","236,490","11,967,895"
Libya,"328,856","4,480","243,672","80,704",,"47,087",641,"1,608,913","230,371","6,984,020"
Ethiopia,"328,735","5,059","295,604","28,072",806,"2,777",43,"3,358,285","28,366","118,392,154"
Egypt,"295,051","16,921","248,425","29,705",90,"2,819",162,"3,068,679","29,320","104,660,822"
Kenya,"245,337","4,961","235,469","4,907",118,"4,445",90,"2,478,820","44,908","55,198,079"
Zambia,"208,267","3,636","203,708",923,60,"10,959",191,"2,375,797","125,019","19,003,464"
Algeria,"200,989","5,651","137,410","57,928",24,"4,486",126,"230,861","5,153","44,805,602"
Nigeria,"200,957","2,647","189,346","8,964",11,947,12,"2,942,578","13,861","212,291,006"
Botswana,"172,252","2,343","167,318","2,591",1,"71,508",973,"1,713,133","711,185","2,408,844"
Mozambique,"149,804","1,902","144,875","3,027",32,"4,637",59,"884,640","27,381","32,309,094"
Zimbabwe,"127,368","4,560","120,000","2,808",12,"8,422",302,"1,335,884","88,329","15,123,912"
Namibia,"126,537","3,456","121,824","1,257",19,"48,736","1,331","681,868","262,623","2,596,376"
Ghana,"123,874","1,098","117,892","4,884",51,"3,889",34,"1,668,839","52,390","31,854,437"
Uganda,"121,784","3,115","95,835","22,834",335,"2,565",66,"1,635,630","34,450","47,478,007"
Rwanda,"94,478","1,193","45,414","47,871",23,"7,083",89,"2,644,414","198,250","13,338,782"
Cameroon,"85,414","1,368","80,433","3,613",152,"3,124",50,"1,751,774","64,070","27,341,428"
Senegal,"73,562","1,841","68,421","3,300",11,"4,258",107,"775,868","44,913","17,275,018"
Malawi,"61,250","2,251","51,337","7,662",285,"3,105",114,"399,443","20,251","19,724,995"
Ivory Coast,"58,531",546,"56,350","1,635",,"2,155",20,"888,751","32,717","27,164,726"
DRC,"56,357","1,068","30,858","24,431",,607,12,"306,299","3,299","92,836,219"
Réunion,"52,643",358,"51,126","1,159",33,"58,296",396,"1,279,618","1,417,029","903,029"
Angola,"51,827","1,371","45,918","4,538",8,"1,520",40,"924,815","27,124","34,095,725"
Eswatini,"45,274","1,194","42,908","1,172",10,"38,542","1,016","334,494","284,757","1,174,664"
Madagascar,"42,898",958,"41,322",618,3,"1,503",34,"249,510","8,740","28,547,963"
Sudan,"38,000","2,875","31,916","3,209",,843,64,"238,579","5,292","45,082,248"
Cabo Verde,"36,891",327,"35,655",909,23,"65,494",581,"209,041","371,116","563,276"
Mauritania,"35,212",761,"33,394","1,057",22,"7,341",159,"462,517","96,423","4,796,765"
Guinea,"30,136",370,"28,277","1,489",24,"2,222",27,"546,969","40,333","13,561,494"
Gabon,"27,291",174,"26,027","1,090",25,"11,923",76,"1,143,075","499,382","2,288,979"
Togo,"24,093",209,"19,270","4,614",,"2,830",25,"491,799","57,774","8,512,393"
Benin,"21,450",146,"17,294","4,010",5,"1,715",12,"604,310","48,324","12,505,413"
Seychelles,"20,943",114,"20,245",584,,"211,370","1,151","21,504","217,032","99,082"
Mayotte,"20,107",176,"2,964","16,967",,"71,621",627,"176,919","630,186","280,741"
Somalia,"18,820","1,041","9,138","8,641",,"1,146",63,"215,687","13,130","16,426,768"
Mali,"15,020",545,"14,203",272,,717,26,"404,159","19,289","20,952,571"
Lesotho,"14,395",403,"6,830","7,162",,"6,656",186,"146,630","67,798","2,162,756"
Burundi,"14,189",38,773,"13,378",,"1,152",3,"345,742","28,071","12,316,767"
Mauritius,"14,073",48,"1,854","12,171",,"11,044",38,"358,675","281,464","1,274,319"
Burkina Faso,"13,984",172,"13,670",142,,648,8,"214,358","9,927","21,593,041"
Congo,"13,701",183,"12,421","1,097",,"2,411",32,"188,207","33,126","5,681,620"
Djibouti,"11,960",157,"11,688",115,,"11,897",156,"213,490","212,358","1,005,331"
South Sudan,"11,790",121,"11,195",474,,"1,039",11,"219,648","19,349","11,352,106"
CAR,"11,309",100,"6,859","4,350",2,"2,293",20,"60,228","12,214","4,931,009"
Equatorial Guinea,"11,063",137,"9,490","1,436",1,"7,586",94,"195,087","133,768","1,458,397"
Gambia,"9,867",330,"9,504",33,3,"3,949",132,"101,817","40,754","2,498,360"
Eritrea,"6,667",40,"6,617",10,,"1,849",11,"23,693","6,571","3,605,635"
Sierra Leone,"6,388",121,"4,374","1,893",,782,15,"160,729","19,667","8,172,455"
Guinea-Bissau,"6,053",130,"5,198",725,4,"2,991",64,"95,698","47,281","2,024,015"
Niger,"5,947",201,"5,676",70,,235,8,"150,915","5,975","25,259,377"
Liberia,"5,761",283,"5,428",50,2,"1,108",54,"128,246","24,659","5,200,839"
Chad,"5,021",174,"4,831",16,,295,10,"142,919","8,410","16,992,934"
Comoros,"4,104",147,"3,942",15,,"4,601",165,,,"891,918"
Sao Tome and Principe,"2,984",42,"2,554",388,,"13,318",187,"14,689","65,557","224,065"
Tanzania,"1,367",50,183,"1,134",7,22,0.8,,,"61,781,305"
Western Sahara,10,1,8,1,,16,2,,,"615,022"
Saint Helena,2,,2,0,,328,,,,"6,099"
Total:,"8,194,902","205,530","7,444,286","545,086","4,032",,,,,
