"Country, Other",Total Cases,Total Deaths,Total Recovered,Active Cases,Serious / Critical Condition,Total Cases / 1M Population,Deaths / 1M Population,Total Tests,Tests / 1M Population,Population
India,"33,381,728","444,278","32,598,424","339,026","8,944","23,906",318,"547,701,729","392,229","1,396,383,360"
Turkey,"6,767,008","60,903","6,262,690","443,415",633,"79,207",713,"81,422,835","953,044","85,434,482"
Iran,"5,378,408","116,072","4,682,704","579,632","6,981","63,060","1,361","30,123,729","353,191","85,290,152"
Indonesia,"4,181,309","139,919","3,968,152","73,238",,"15,094",505,"35,557,405","128,359","277,014,855"
Philippines,"2,304,192","36,018","2,090,228","177,946","3,170","20,695",323,"20,047,991","180,060","111,340,780"
Malaysia,"2,049,750","22,355","1,800,278","227,117","1,234","62,366",680,"28,070,385","854,076","32,866,366"
Iraq,"1,967,187","21,683","1,846,158","99,346",626,"47,620",525,"14,895,398","360,579","41,309,684"
Japan,"1,657,004","16,959","1,539,958","100,087","1,743","13,150",135,"23,638,872","187,598","126,008,257"
Bangladesh,"1,538,203","27,109","1,494,090","17,004","1,432","9,229",163,"9,363,609","56,181","166,670,080"
Thailand,"1,448,792","15,124","1,304,247","129,421","4,387","20,694",216,"9,201,621","131,430","70,011,638"
Pakistan,"1,218,749","27,072","1,125,952","65,725","4,960","5,391",120,"18,740,356","82,899","226,061,599"
Israel,"1,208,403","7,465","1,117,027","83,911",654,"129,574",800,"20,314,879","2,178,306","9,326,000"
Kazakhstan,"854,742","10,611","779,869","64,262",221,"44,874",557,"11,575,012","607,684","19,047,747"
Jordan,"811,463","10,586","788,398","12,479",518,"78,589","1,025","9,706,117","940,022","10,325,411"
Nepal,"781,989","11,002","745,215","25,772",,"26,269",370,"4,068,591","136,674","29,768,564"
UAE,"731,307","2,069","722,723","6,515",,"72,878",206,"79,589,959","7,931,546","10,034,608"
Vietnam,"656,129","16,425","423,551","216,153",,"6,668",167,"42,517,091","432,102","98,396,006"
Lebanon,"616,179","8,224","576,672","31,283",200,"90,768","1,211","4,780,275","704,175","6,788,478"
Georgia,"589,727","8,390","554,618","26,719",,"148,176","2,108","8,556,007","2,149,800","3,979,909"
Saudi Arabia,"546,336","8,645","535,309","2,382",405,"15,404",244,"28,248,324","796,451","35,467,756"
Sri Lanka,"498,694","11,817","428,590","58,287",,"23,172",549,"4,950,195","230,009","21,521,726"
Azerbaijan,"467,173","6,227","423,705","37,241",,"45,580",608,"4,702,934","458,844","10,249,517"
Myanmar,"440,741","16,869","391,268","32,604",,"8,035",308,"4,047,680","73,795","54,850,343"
Kuwait,"411,018","2,436","407,620",962,23,"94,557",560,"4,003,280","920,982","4,346,752"
Palestine,"379,635","3,871","343,351","32,413",79,"72,391",738,"2,359,999","450,018","5,244,235"
Oman,"303,309","4,092","293,618","5,599",27,"57,631",778,"25,000,000","4,750,165","5,262,975"
S. Korea,"281,938","2,389","254,094","25,455",332,"5,493",47,"13,938,959","271,595","51,322,517"
Bahrain,"274,041","1,388","271,775",878,2,"154,594",783,"6,219,122","3,508,370","1,772,653"
Mongolia,"269,476","1,083","250,200","18,193",192,"80,634",324,"3,855,199","1,153,576","3,341,954"
Armenia,"251,323","5,075","234,416","11,832",,"84,622","1,709","1,633,587","550,041","2,969,937"
Qatar,"235,187",604,"232,817","1,766",17,"83,762",215,"2,589,951","922,411","2,807,805"
Kyrgyzstan,"177,567","2,583","172,015","2,969",131,"26,686",388,"1,702,807","255,908","6,653,990"
Uzbekistan,"167,268","1,179","160,421","5,668",23,"4,912",35,"1,377,915","40,462","34,054,315"
Afghanistan,"154,487","7,186","121,740","25,561","1,124","3,864",180,"756,460","18,919","39,984,343"
Cyprus,"116,494",534,"90,755","25,205",45,"95,646",438,"9,366,973","7,690,625","1,217,973"
Cambodia,"102,136","2,078","95,810","4,248",,"6,009",122,"2,327,705","136,939","16,998,106"
China,"95,577","4,636","90,025",916,5,66,3,"160,000,000","111,163","1,439,323,776"
Maldives,"83,248",227,"81,234","1,787",18,"150,806",411,"1,430,708","2,591,759","552,022"
Singapore,"74,848",59,"69,251","5,538",12,"12,673",10,"18,638,817","3,155,964","5,905,903"
Syria,"30,153","2,104","22,925","5,124",,"1,674",117,"103,566","5,750","18,012,560"
Timor-Leste,"18,856",102,"16,103","2,651",,"13,981",76,"169,501","125,676","1,348,711"
Laos,"18,059",16,"5,568","12,475",,"2,439",2,"441,125","59,588","7,402,912"
Tajikistan,"17,084",124,"16,960",0,,"1,744",13,,,"9,795,679"
Taiwan,"16,115",839,"15,115",161,,675,35,"5,729,487","240,040","23,868,874"
Hong Kong,"12,150",213,"11,862",75,,"1,605",28,"24,014,928","3,172,203","7,570,426"
Yemen,"8,557","1,619","5,325","1,613",23,279,53,"265,253","8,664","30,617,268"
Brunei,"4,675",23,"3,144","1,508",25,"10,564",52,"291,437","658,561","442,536"
Bhutan,"2,596",3,"2,592",1,,"3,320",4,"1,125,970","1,440,112","781,863"
Macao,63,,63,0,,95,,"4,811","7,289","660,014"
Total:,"73,601,073","1,090,285","69,468,625","3,042,163","38,186",,,,,
