"Country, Other",Total Cases,Total Deaths,Total Recovered,Active Cases,Serious / Critical Condition,Total Cases / 1M Population,Deaths / 1M Population,Total Tests,Tests / 1M Population,Population
UK,"7,339,009","134,805","5,907,029","1,297,175","1,081","107,426","1,973","288,664,707","4,225,384","68,316,802"
Russia,"7,214,520","195,835","6,452,398","566,287","2,300","49,411","1,341","185,100,000","1,267,721","146,010,102"
France,"6,934,732","115,894","6,595,374","223,464","2,000","105,958","1,771","134,787,318","2,059,455","65,448,064"
Spain,"4,926,324","85,739","4,625,052","215,533","1,058","105,316","1,833","63,040,355","1,347,688","46,776,669"
Italy,"4,623,155","130,167","4,376,646","116,342",531,"76,600","2,157","88,516,407","1,466,612","60,354,334"
Germany,"4,129,138","93,454","3,873,700","161,984","1,217","49,093","1,111","70,379,237","836,776","84,107,665"
Poland,"2,895,947","75,464","2,658,636","161,847",95,"76,619","1,997","20,373,472","539,031","37,796,497"
Ukraine,"2,331,540","54,651","2,226,629","50,260",177,"53,702","1,259","12,377,327","285,087","43,415,936"
Netherlands,"1,979,114","18,097","1,888,337","72,680",205,"115,194","1,053","16,873,290","982,108","17,180,691"
Czechia,"1,684,881","30,422","1,649,849","4,610",29,"156,981","2,834","37,131,801","3,459,595","10,732,992"
Belgium,"1,217,473","25,494","1,127,982","63,997",214,"104,499","2,188","19,385,534","1,663,914","11,650,562"
Sweden,"1,143,973","14,711","1,099,562","29,700",48,"112,426","1,446","12,167,135","1,195,749","10,175,328"
Romania,"1,135,027","35,286","1,073,552","26,189",741,"59,480","1,849","12,125,293","635,416","19,082,444"
Portugal,"1,059,409","17,888","1,006,356","35,165",103,"104,265","1,760","17,806,549","1,752,483","10,160,757"
Serbia,"846,114","7,664","748,262","90,188",156,"97,313",881,"5,342,565","614,455","8,694,808"
Switzerland,"820,980","11,010","733,095","76,875",261,"94,030","1,261","10,315,436","1,181,465","8,731,058"
Hungary,"816,680","30,118","779,433","7,129",40,"84,800","3,127","6,753,395","701,237","9,630,690"
Austria,"718,091","10,870","684,548","22,673",202,"79,185","1,199","82,216,463","9,066,186","9,068,473"
Greece,"625,083","14,354","584,356","26,373",359,"60,328","1,385","17,406,729","1,679,947","10,361,475"
Belarus,"510,481","3,966","498,655","7,860",,"54,045",420,"8,118,970","859,554","9,445,566"
Bulgaria,"478,885","19,876","419,410","39,599",396,"69,553","2,887","4,560,069","662,304","6,885,163"
Slovakia,"400,348","12,566","382,734","5,048",47,"73,286","2,300","3,476,350","636,363","5,462,839"
Croatia,"388,260","8,472","372,145","7,643",72,"95,287","2,079","2,695,369","661,498","4,074,643"
Ireland,"371,301","5,179","319,927","46,195",67,"74,196","1,035","6,918,733","1,382,542","5,004,357"
Denmark,"353,744","2,619","344,824","6,301",26,"60,814",450,"82,694,744","14,216,418","5,816,848"
Lithuania,"312,481","4,751","290,304","17,426",136,"116,758","1,775","4,669,783","1,744,861","2,676,306"
Slovenia,"280,544","4,486","264,155","11,903",46,"134,923","2,157","1,512,931","727,621","2,079,283"
Moldova,"279,143","6,569","265,144","7,430",142,"69,393","1,633","1,673,626","416,053","4,022,626"
Bosnia and Herzegovina,"224,862","10,161","192,218","22,483",,"69,058","3,121","1,185,467","364,072","3,256,133"
North Macedonia,"185,450","6,367","166,099","12,984",,"89,019","3,056","1,238,106","594,309","2,083,271"
Norway,"180,432",841,"88,952","90,639",20,"32,971",154,"7,649,323","1,397,792","5,472,431"
Albania,"160,365","2,563","144,954","12,848",3,"55,799",892,"1,138,183","396,028","2,873,998"
Latvia,"149,081","2,632","140,866","5,583",26,"80,110","1,414","4,060,602","2,181,993","1,860,960"
Estonia,"148,391","1,320","138,507","8,564",15,"111,773",994,"1,834,947","1,382,140","1,327,613"
Finland,"135,314","1,051","46,000","88,263",29,"24,376",189,"6,909,744","1,244,747","5,551,123"
Montenegro,"124,485","1,822","114,793","7,870",11,"198,173","2,901","682,975","1,087,259","628,162"
Luxembourg,"77,098",834,"75,136","1,128",9,"120,794","1,307","3,493,106","5,472,866","638,259"
Malta,"36,900",452,"35,356","1,092",5,"83,302","1,020","1,211,456","2,734,886","442,964"
Andorra,"15,113",130,"14,939",44,4,"195,223","1,679","193,595","2,500,775","77,414"
Iceland,"11,377",33,"10,995",349,6,"33,081",96,"1,024,988","2,980,327","343,918"
Channel Islands,"11,223",96,"10,720",407,,"63,840",546,"872,039","4,960,460","175,798"
Isle of Man,"7,094",38,"6,790",266,1,"82,896",444,"83,753","978,686","85,577"
Gibraltar,"5,463",97,"5,288",78,3,"162,208","2,880","349,781","10,385,730","33,679"
San Marino,"5,388",90,"5,240",58,1,"158,391","2,646","77,225","2,270,188","34,017"
Liechtenstein,"3,394",60,"3,279",55,1,"88,709","1,568","49,126","1,284,004","38,260"
Monaco,"3,288",33,"3,210",45,6,"83,076",834,"54,960","1,388,650","39,578"
Faeroe Islands,"1,050",2,"1,018",30,,"21,391",41,"420,000","8,556,237","49,087"
Vatican City,27,,27,0,,"33,624",,,,803
Total:,"57,302,172","1,199,029","52,452,481","3,650,662","11,889",,,,,
