"Country, Other",Total Cases,Total Deaths,Total Recovered,Active Cases,Serious / Critical Condition,Total Cases / 1M Population,Deaths / 1M Population,Total Tests,Tests / 1M Population,Population
USA,"42,634,054","688,486","32,347,726","9,597,842","25,209","127,897","2,065","615,684,393","1,846,976","333,347,223"
India,"33,381,728","444,278","32,598,424","339,026","8,944","23,906",318,"547,701,729","392,229","1,396,383,360"
Brazil,"21,069,017","589,277","20,173,064","306,676","8,318","98,277","2,749","57,095,219","266,322","214,384,223"
UK,"7,339,009","134,805","5,907,029","1,297,175","1,081","107,426","1,973","288,664,707","4,225,384","68,316,802"
Russia,"7,214,520","195,835","6,452,398","566,287","2,300","49,411","1,341","185,100,000","1,267,721","146,010,102"
France,"6,934,732","115,894","6,595,374","223,464","2,000","105,958","1,771","134,787,318","2,059,455","65,448,064"
Turkey,"6,767,008","60,903","6,262,690","443,415",633,"79,207",713,"81,422,835","953,044","85,434,482"
Iran,"5,378,408","116,072","4,682,704","579,632","6,981","63,060","1,361","30,123,729","353,191","85,290,152"
Argentina,"5,234,851","114,101","5,087,120","33,630","1,614","114,557","2,497","24,252,818","530,737","45,696,487"
Colombia,"4,936,052","125,782","4,774,661","35,609",542,"95,776","2,441","24,920,135","483,534","51,537,524"
Spain,"4,926,324","85,739","4,625,052","215,533","1,058","105,316","1,833","63,040,355","1,347,688","46,776,669"
Italy,"4,623,155","130,167","4,376,646","116,342",531,"76,600","2,157","88,516,407","1,466,612","60,354,334"
Indonesia,"4,181,309","139,919","3,968,152","73,238",,"15,094",505,"35,557,405","128,359","277,014,855"
Germany,"4,129,138","93,454","3,873,700","161,984","1,217","49,093","1,111","70,379,237","836,776","84,107,665"
Mexico,"3,549,229","270,346","2,897,667","381,216","4,798","27,183","2,071","10,302,152","78,903","130,567,887"
Poland,"2,895,947","75,464","2,658,636","161,847",95,"76,619","1,997","20,373,472","539,031","37,796,497"
South Africa,"2,873,415","85,779","2,706,293","81,343",546,"47,722","1,425","17,236,691","286,272","60,210,991"
Ukraine,"2,331,540","54,651","2,226,629","50,260",177,"53,702","1,259","12,377,327","285,087","43,415,936"
Philippines,"2,304,192","36,018","2,090,228","177,946","3,170","20,695",323,"20,047,991","180,060","111,340,780"
Peru,"2,164,380","198,891",N/A,N/A,"1,071","64,558","5,932","17,377,197","518,321","33,525,950"
Malaysia,"2,049,750","22,355","1,800,278","227,117","1,234","62,366",680,"28,070,385","854,076","32,866,366"
Netherlands,"1,979,114","18,097","1,888,337","72,680",205,"115,194","1,053","16,873,290","982,108","17,180,691"
Iraq,"1,967,187","21,683","1,846,158","99,346",626,"47,620",525,"14,895,398","360,579","41,309,684"
Czechia,"1,684,881","30,422","1,649,849","4,610",29,"156,981","2,834","37,131,801","3,459,595","10,732,992"
Japan,"1,657,004","16,959","1,539,958","100,087","1,743","13,150",135,"23,638,872","187,598","126,008,257"
Chile,"1,645,820","37,293","1,602,703","5,824",463,"85,212","1,931","21,081,270","1,091,483","19,314,333"
Canada,"1,564,089","27,325","1,493,619","43,145",638,"41,007",716,"41,861,477","1,097,525","38,141,706"
Bangladesh,"1,538,203","27,109","1,494,090","17,004","1,432","9,229",163,"9,363,609","56,181","166,670,080"
Thailand,"1,448,792","15,124","1,304,247","129,421","4,387","20,694",216,"9,201,621","131,430","70,011,638"
Pakistan,"1,218,749","27,072","1,125,952","65,725","4,960","5,391",120,"18,740,356","82,899","226,061,599"
